,method,RetDev,Indisc
14,naive,0.0,0.9945
7,kgltop1,0.0626,0.9891
10,kgltop4,0.0679,0.9703
16,salun,0.0719,0.9941
3,finetune,0.0767,0.994
15,neggradplus,0.0833,0.978
17,scrubv2,0.0865,0.9912
2,cfk,0.09,0.9302
13,kgltop7,0.0916,0.9658
0,bad_teacher,0.1033,0.9751
18,successive_random_labels,0.1056,0.9979
9,kgltop3,0.1227,0.9736
11,kgltop5,0.1258,0.9959
8,kgltop2,0.1368,0.9852
12,kgltop6,0.1518,0.9535
1,catastrophic_forgetting_gamma_k,0.1532,0.9524
6,influence,0.163,0.8952
5,gradient_ascent,0.26,0.9203
4,fisher,2.6758,
