,method,RA,FA,TA,RR,FR,TR,RetDev,Indisc,T-MIA,RTE
0,bad_teacher,0.9354,0.8721,0.8358,0.936,0.9985,0.9621,0.1033,0.9751,0.4876,41.1223
1,catastrophic_forgetting_gamma_k,0.924,0.8664,0.808,0.9246,0.992,0.9302,0.1532,0.9524,0.5238,14.0842
2,cfk,1.0,0.9263,0.8437,1.0007,1.0606,0.9713,0.09,0.9302,0.5349,5.1915
3,finetune,1.0,0.848,0.828,1.0007,0.9709,0.9531,0.0767,0.994,0.503,13.738
4,fisher,0.0991,0.096,0.1,0.0992,0.1099,0.1151,2.6758,,,67.8503
5,gradient_ascent,0.8656,0.8519,0.7805,0.8662,0.9753,0.8985,0.26,0.9203,0.5399,390.1235
6,influence,0.9417,0.932,0.8354,0.9424,1.067,0.9616,0.163,0.8952,0.5524,54.0705
7,kgltop1,0.9954,0.8623,0.8288,0.9961,0.9873,0.954,0.0626,0.9891,0.5054,8.6456
8,kgltop2,0.9884,0.8239,0.8086,0.9891,0.9433,0.9309,0.1368,0.9852,0.5074,7.3607
9,kgltop3,0.9965,0.8326,0.8051,0.9972,0.9533,0.9268,0.1227,0.9736,0.5132,10.2656
10,kgltop4,0.9976,0.8559,0.8286,0.9983,0.9799,0.9539,0.0679,0.9703,0.5149,3.3187
11,kgltop5,0.9953,0.8224,0.8136,0.996,0.9416,0.9366,0.1258,0.9959,0.502,22.0991
12,kgltop6,0.968,0.8415,0.7958,0.9687,0.9635,0.9161,0.1518,0.9535,0.5233,3.511
13,kgltop7,1.0,0.8477,0.8153,1.0007,0.9705,0.9386,0.0916,0.9658,0.5171,3.581
14,naive,0.9993,0.8734,0.8687,1.0,1.0,1.0,0.0,0.9945,0.5028,1.0
15,neggradplus,0.9638,0.8579,0.8426,0.9645,0.9823,0.9699,0.0833,0.978,0.489,2.3702
16,salun,0.9712,0.8792,0.8365,0.9719,1.0067,0.963,0.0719,0.9941,0.4971,44.2234
17,scrubv2,0.9631,0.8527,0.8456,0.9638,0.9763,0.9734,0.0865,0.9912,0.4956,2.4891
18,successive_random_labels,0.992,0.9304,0.8401,0.9926,1.0653,0.9671,0.1056,0.9979,0.499,4.6933
