method,seed,runtime_seconds,Retain,Forget,Val,Test,Val MIA,Test MIA
bad_teacher,4.5,40.78187186717987,0.9354117647058823,0.8721176470588234,0.8386666666666667,0.8357699999999999,0.496035294117647,0.4875647058823529
catastrophic_forgetting_gamma_k,4.5,119.07307436466218,0.9239895424836602,0.8664235294117647,0.8090133333333334,0.8080400000000001,0.5322235294117647,0.5238117647058823
cfk,4.5,323.0369030475616,1.0,0.9263058823529411,0.8448399999999999,0.84374,0.5413058823529412,0.5348941176470589
finetune,4.5,122.07294778823852,0.9999843137254901,0.8479529411764706,0.8289333333333333,0.8279799999999999,0.512070588235294,0.5030235294117646
fisher,4.5,24.716813468933104,0.0991372549019607,0.096,0.1066666666666666,0.1,,
gradient_ascent,4.5,4.298750352859497,0.865602614379085,0.8518588235294118,0.78204,0.7805,0.5390235294117647,0.5398705882352941
influence,4.5,31.015851497650146,0.9417385620915033,0.9319529411764705,0.8392533333333333,0.83535,0.5552941176470588,0.5524117647058823
kgltop1,4.5,193.97570517063141,0.9953856209150327,0.862329411764706,0.8310000000000001,0.8287699999999999,0.5060352941176471,0.5054352941176471
kgltop2,4.5,227.83832898139954,0.9884000000000001,0.8238588235294116,0.8078666666666667,0.80863,0.5088470588235294,0.5073882352941176
kgltop3,4.5,163.36610252857207,0.996491503267974,0.832635294117647,0.80676,0.8051299999999999,0.5129294117647059,0.5132117647058824
kgltop4,4.5,505.33756878376005,0.9975816993464053,0.8558588235294117,0.8298400000000001,0.82864,0.513164705882353,0.5148588235294118
kgltop5,4.5,75.88738102912903,0.9953071895424837,0.8224,0.8137333333333334,0.8136099999999999,0.5033529411764706,0.5020470588235294
kgltop6,4.5,477.6477684497833,0.9680366013071895,0.841529411764706,0.8424666666666667,0.79577,0.5066352941176471,0.5232588235294118
kgltop7,4.5,468.31863763332365,1.0,0.8476705882352942,0.8165866666666666,0.81532,0.5145647058823529,0.5170823529411764
naive,4.5,1677.043450641632,0.9993202614379084,0.8734117647058823,0.8712,0.86869,0.497435294117647,0.5027647058823529
neggradplus,4.5,707.5671991586685,0.9638196078431372,0.8579294117647059,0.8444,0.8425499999999999,0.48432941176470584,0.489
salun,4.5,37.922079181671144,0.9711973856209151,0.8792470588235295,0.8379066666666667,0.83651,0.4958117647058823,0.49707058823529404
scrubv2,4.5,673.7612460136413,0.9631477124183008,0.8527058823529412,0.8461466666666666,0.8455999999999999,0.4982117647058823,0.49558823529411755
successive_random_labels,4.5,357.330508184433,0.9919503267973857,0.9304235294117648,0.8436933333333334,0.84009,0.4963176470588235,0.49896470588235287
